% Roll Moment Body Axis Coefficient Effect of Aileron Deflection
% The Function is Cl_ail(alpha, beta)
% Ranges are:
    % alpha = -20 to 90 deg
    % beta  = -30 to 30 deg
% ------------------------------------------------------------------ %
-0.0499 -0.0325 -0.0184 -0.0113 -0.0023 -0.0059 -0.0125 -0.0116 -0.0170 -0.0211 -0.0242 -0.0271 -0.0331 -0.0352 -0.0392 -0.0302 -0.0231 -0.0090  0.0084
-0.0476 -0.0346 -0.0215 -0.0132 -0.0180 -0.0211 -0.0246 -0.0248 -0.0284 -0.0311 -0.0320 -0.0341 -0.0366 -0.0349 -0.0386 -0.0434 -0.0351 -0.0220 -0.0090
-0.0452 -0.0339 -0.0272 -0.0245 -0.0250 -0.0259 -0.0267 -0.0292 -0.0337 -0.0325 -0.0327 -0.0349 -0.0371 -0.0401 -0.0433 -0.0438 -0.0411 -0.0344 -0.0231
-0.0344 -0.0303 -0.0258 -0.0230 -0.0242 -0.0270 -0.0301 -0.0334 -0.0368 -0.0402 -0.0440 -0.0480 -0.0511 -0.0541 -0.0555 -0.0567 -0.0539 -0.0494 -0.0453
-0.0404 -0.0372 -0.0327 -0.0302 -0.0323 -0.0342 -0.0373 -0.0414 -0.0451 -0.0482 -0.0510 -0.0536 -0.0570 -0.0595 -0.0624 -0.0645 -0.0620 -0.0575 -0.0543
-0.0251 -0.0256 -0.0241 -0.0252 -0.0297 -0.0334 -0.0378 -0.0425 -0.0472 -0.0517 -0.0554 -0.0586 -0.0618 -0.0653 -0.0685 -0.0730 -0.0741 -0.0726 -0.0731
-0.0031 -0.0026 -0.0027 -0.0091 -0.0185 -0.0235 -0.0301 -0.0366 -0.0437 -0.0501 -0.0557 -0.0608 -0.0665 -0.0717 -0.0771 -0.0865 -0.0929 -0.0930 -0.0925
 0.0158  0.0145  0.0121  0.0063 -0.0068 -0.0135 -0.0214 -0.0313 -0.0401 -0.0492 -0.0576 -0.0656 -0.0729 -0.0780 -0.0855 -0.0986 -0.1044 -0.1068 -0.1081
 0.0074  0.0045  0.0038  0.0063  0.0026 -0.0053 -0.0137 -0.0228 -0.0322 -0.0416 -0.0515 -0.0606 -0.0689 -0.0784 -0.0863 -0.0900 -0.0875 -0.0882 -0.0911
 0.0296  0.0258  0.0237  0.0157  0.0046 -0.0025 -0.0105 -0.0202 -0.0287 -0.0374 -0.0454 -0.0536 -0.0617 -0.0686 -0.0763 -0.0874 -0.0954 -0.0975 -0.1013
 0.0404  0.0081 -0.0149 -0.0074 -0.0196 -0.0105 -0.0122 -0.0193 -0.0244 -0.0306 -0.0362 -0.0429 -0.0456 -0.0493 -0.0501 -0.0623 -0.0548 -0.0778 -0.1101
 0.0309  0.0126  0.0020 -0.0246 -0.0223 -0.0246 -0.0172 -0.0215 -0.0275 -0.0358 -0.0354 -0.0373 -0.0361 -0.0343 -0.0324 -0.0301 -0.0567 -0.0673 -0.0856
 0.0419  0.0253  0.0041 -0.0183 -0.0154 -0.0061 -0.0014 -0.0057 -0.0117 -0.0195 -0.0276 -0.0310 -0.0347 -0.0346 -0.0339 -0.0310 -0.0534 -0.0746 -0.0912
 0.0579  0.0418  0.0181  0.0110  0.0035  0.0019  0.0000 -0.0010 -0.0018 -0.0116 -0.0170 -0.0198 -0.0243 -0.0236 -0.0311 -0.0386 -0.0457 -0.0694 -0.0855
 0.0415  0.0304  0.0210  0.0194  0.0072  0.0061  0.0046  0.0007 -0.0017 -0.0069 -0.0129 -0.0218 -0.0249 -0.0302 -0.0297 -0.0419 -0.0435 -0.0529 -0.0640
 0.0467  0.0291  0.0239  0.0180  0.0083  0.0054  0.0013 -0.0026 -0.0048 -0.0100 -0.0143 -0.0204 -0.0237 -0.0283 -0.0296 -0.0393 -0.0452 -0.0504 -0.0680
 0.0490  0.0323  0.0267  0.0182  0.0089  0.0046 -0.0005 -0.0043 -0.0070 -0.0119 -0.0155 -0.0193 -0.0235 -0.0277 -0.0296 -0.0389 -0.0474 -0.0530 -0.0697
 0.0405  0.0396  0.0286  0.0184  0.0070  0.0070 -0.0035 -0.0060 -0.0067 -0.0088 -0.0146 -0.0156 -0.0207 -0.0250 -0.0270 -0.0384 -0.0486 -0.0596 -0.0685
 0.0616  0.0483  0.0387  0.0293  0.0161  0.0127  0.0091  0.0048  0.0027 -0.0023 -0.0069 -0.0136 -0.0140 -0.0185 -0.0225 -0.0357 -0.0451 -0.0547 -0.0680
 0.0706  0.0522  0.0400  0.0317  0.0182  0.0143  0.0105  0.0076  0.0037  0.0012 -0.0035 -0.0062 -0.0100 -0.0133 -0.0170 -0.0305 -0.0388 -0.0510 -0.0694s
