% Y-Axis Force Coefficient Effect of Leading Edge Flap
% The Function is Cy_lef(alpha, beta)
% Ranges are:
    % alpha = -20 to 45 deg
    % beta = -30 to 30 deg
% ------------------------------------------------------------------ %
 0.3692  0.2991  0.2417  0.1692  0.1078  0.0874  0.0837  0.0572  0.0260  0.0000 -0.0258 -0.0592 -0.0863 -0.1209 -0.1504 -0.2106 -0.2836 -0.3396 -0.4106
 0.4368  0.3797  0.3249  0.2636  0.1826  0.1456  0.1068  0.0701  0.0336  0.0000 -0.0337 -0.0702 -0.1100 -0.1500 -0.1902 -0.2712 -0.3332 -0.3882 -0.4452
 0.5000  0.4441  0.3671  0.2896  0.1871  0.1475  0.1096  0.0757  0.0377  0.0000 -0.0339 -0.0708 -0.1108 -0.1513 -0.1949 -0.2978 -0.3758 -0.4528 -0.5078
 0.5683  0.4913  0.3913  0.2943  0.1926  0.1490  0.1125  0.0723  0.0369  0.0000 -0.0363 -0.0765 -0.1169 -0.1644 -0.2132 -0.3148 -0.4118 -0.5130 -0.5889
 0.6293  0.5313  0.4173  0.3053  0.2024  0.1582  0.1116  0.0729  0.0374  0.0000 -0.0374 -0.0776 -0.1223 -0.1712 -0.2158 -0.3196 -0.4308 -0.5443 -0.6426
 0.6397  0.5367  0.4267  0.3097  0.2042  0.1630  0.1174  0.0775  0.0394  0.0000 -0.0352 -0.0785 -0.1189 -0.1689 -0.2150 -0.3218 -0.4364 -0.5448 -0.6496
 0.6132  0.5192  0.4302  0.3142  0.2080  0.1631  0.1187  0.0784  0.0370  0.0000 -0.0378 -0.0774 -0.1228 -0.1664 -0.2153 -0.3196 -0.4353 -0.5237 -0.6177
 0.5416  0.4876  0.4126  0.3066  0.2020  0.1576  0.1168  0.0718  0.0377  0.0000 -0.0368 -0.0784 -0.1194 -0.1636 -0.2096 -0.3143 -0.4223 -0.4947 -0.5499
 0.4750  0.3750  0.2950  0.2300  0.1576  0.1254  0.0919  0.0590  0.0282  0.0000 -0.0313 -0.0670 -0.1023 -0.1374 -0.1710 -0.2452 -0.3089 -0.3869 -0.4880
 0.4878  0.3708  0.2508  0.1578  0.1176  0.1174  0.0893  0.0585  0.0286  0.0000 -0.0301 -0.0566 -0.0925 -0.1126 -0.1321 -0.1714 -0.2647 -0.3850 -0.5025
 0.3436  0.3226  0.2286  0.1396  0.0825  0.0801  0.0757  0.0549  0.0287  0.0000 -0.0289 -0.0527 -0.0724 -0.0939 -0.1136 -0.1694 -0.2589 -0.3511 -0.3742
 0.2437  0.2267  0.1757  0.1307  0.0776  0.0602  0.0535  0.0407  0.0181  0.0000 -0.0214 -0.0537 -0.0808 -0.1009 -0.1226 -0.1766 -0.2208 -0.2714 -0.2901
 0.1976  0.1776  0.1566  0.1286  0.0906  0.0737  0.0593  0.0505  0.0188  0.0000 -0.0286 -0.0516 -0.0737 -0.0938 -0.1132 -0.1503 -0.1791 -0.1996 -0.2195  
 0.1741  0.1251  0.1201  0.1320  0.1110  0.0854  0.0550  0.0339  0.0183  0.0000 -0.0544 -0.0929 -0.1312 -0.1581 -0.1766 -0.1977 -0.1859 -0.1900 -0.2385
