% Y Body Axis Main Coefficient
% The Function is Cy(alpha, beta)
% Ranges are:
    % alpha = -20 to 90 deg
    % beta  = -30 to 30 deg
% ------------------------------------------------------------------ %
0.3677  0.3070  0.2460  0.1844  0.1062  0.0850  0.0677  0.0380  0.0186  0.0000 -0.0232 -0.0467 -0.0747 -0.1078 -0.1421 -0.2221 -0.2861 -0.3461 -0.4081
0.4019  0.3220  0.2651  0.1964  0.1332  0.1039  0.0753  0.0442  0.0175  0.0000 -0.0188 -0.0402 -0.0681 -0.1004 -0.1317 -0.1930 -0.2540 -0.3190 -0.3980
0.4367  0.3823  0.3185  0.2462  0.1513  0.1156  0.0760  0.0434  0.0161  0.0000 -0.0124 -0.0430 -0.0792 -0.1171 -0.1542 -0.2482 -0.3212 -0.3842 -0.4382
0.5538  0.4778  0.3758  0.2818  0.1833  0.1449  0.1055  0.0662  0.0325  0.0000 -0.0420 -0.0763 -0.1177 -0.1575 -0.2072 -0.3041 -0.4001 -0.5013 -0.5794
0.6218  0.5258  0.4208  0.3088  0.2014  0.1553  0.1138  0.0726  0.0371  0.0000 -0.0394 -0.0764 -0.1191 -0.1674 -0.2134 -0.3198 -0.4315 -0.5369 -0.6400
0.6544  0.5514  0.4294  0.3124  0.2028  0.1607  0.1133  0.0767  0.0331  0.0000 -0.0383 -0.0819 -0.1233 -0.1705 -0.2173 -0.3257 -0.4430 -0.5506 -0.6514
0.6255  0.5185  0.4225  0.3065  0.2016  0.1597  0.1131  0.0748  0.0345  0.0000 -0.0383 -0.0786 -0.1204 -0.1668 -0.2171 -0.3204 -0.4347 -0.5313 -0.6371
0.5885  0.4665  0.3755  0.2875  0.1837  0.1473  0.1069  0.0652  0.0298  0.0000 -0.0383 -0.0770 -0.1200 -0.1642 -0.2056 -0.3091 -0.3966 -0.4868 -0.6100
0.5783  0.4633  0.3383  0.2563  0.1814  0.1504  0.1116  0.0703  0.0332  0.0000 -0.0248 -0.0558 -0.0984 -0.1366 -0.1729 -0.2479 -0.3280 -0.4542 -0.5698
0.5005  0.4195  0.3005  0.2295  0.1643  0.1409  0.1029  0.0654  0.0343  0.0000 -0.0335 -0.0677 -0.1028 -0.1369 -0.1692 -0.2337 -0.3044 -0.4241 -0.5030
0.3751  0.3161  0.2291  0.1411  0.0927  0.1057  0.0911  0.0630  0.0297  0.0000 -0.0306 -0.0647 -0.0906 -0.1159 -0.1353 -0.1841 -0.2743 -0.3600 -0.4189
0.3292  0.2952  0.2112  0.1472  0.0857  0.0581  0.0651  0.0563  0.0264  0.0000 -0.0214 -0.0513 -0.0806 -0.0971 -0.1022 -0.1632 -0.2282 -0.3141 -0.3488
0.4470  0.3885  0.3025  0.2135  0.0748  0.0531  0.0303  0.0360  0.0123  0.0000 -0.0320 -0.0484 -0.0664 -0.0958 -0.1075 -0.1539 -0.1575 -0.1807 -0.2242
0.1634  0.0894  0.0444  0.0894  0.0782  0.0612  0.0458  0.0398  0.0279  0.0000 -0.0868 -0.1048 -0.1365 -0.1541 -0.1830 -0.1940 -0.1506 -0.1951 -0.2662
0.1366  0.1036  0.0916  0.1556  0.0866  0.0785  0.0555  0.0399  0.0302  0.0000 -0.0178 -0.0791 -0.1060 -0.1177 -0.1508 -0.2201 -0.1565 -0.1679 -0.2008
0.1735  0.1355  0.1795  0.1725  0.1104  0.0926  0.0663  0.0460  0.0424  0.0000 -0.0087 -0.0718 -0.1065 -0.1225 -0.1468 -0.2090 -0.2153 -0.1709 -0.2107
0.2233  0.1713  0.2083  0.1883  0.1230  0.1051  0.0788  0.0546  0.0474  0.0000 -0.0048 -0.0571 -0.0840 -0.1047 -0.1242 -0.1885 -0.2077 -0.1719 -0.2099
0.2609  0.2279  0.1739  0.1469  0.1074  0.0941  0.0765  0.0564  0.0371  0.0000 -0.0113 -0.0300 -0.0477 -0.0715 -0.0859 -0.1266 -0.1534 -0.2078 -0.2421
0.3055  0.2595  0.2165  0.1635  0.1096  0.0871  0.0753  0.0498  0.0212  0.0000 -0.0203 -0.0361 -0.0655 -0.0804 -0.1027 -0.1554 -0.2075 -0.2495 -0.2954
0.3078  0.2498  0.1998  0.1568  0.1089  0.0843  0.0658  0.0446  0.0203  0.0000 -0.0263 -0.0418 -0.0611 -0.0836 -0.1068 -0.1547 -0.1986 -0.2474 -0.3047
